name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2019 weather new york,2019-04-01,4.7,-1.3,1.5,0.1,-6.9,-3.6,-9.9,45,0.03,100,4.17,"rain,snow",0,0,57.3,42,286.1,1020.7,35.3,15.9,265.6,23,9,,2019-04-01T06:38:11,2019-04-01T19:21:46,0.94,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"KGFL,72522014750,72616654781,72518014735,E4767,KDDH,KALB,D3701"
2019 weather new york,2019-04-02,10.8,-5.3,3.5,10.8,-5.6,1.9,-9.5,41.1,0,0,0,,0,0,52.3,35.1,132.5,1026.3,49.4,16,226.1,19.4,8,,2019-04-02T06:36:26,2019-04-02T19:22:56,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,72522014750,APBN6,72616654781,72518014735,KDDH,KALB,D3701"
2019 weather new york,2019-04-03,15.8,0.6,7.1,15.8,-1,5.6,-5.2,43.3,0,0,0,,0,0,64.4,43.9,189.1,1016.3,45.8,16,234.4,20.1,9,,2019-04-03T06:34:42,2019-04-03T19:24:05,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,72522014750,APBN6,72616654781,72518014735,KDDH,KALB,D3701"
2019 weather new york,2019-04-04,7.8,0.7,4,3.4,-3.7,-0.6,-12.7,29.9,0,0,0,,0,0,56.6,37.8,290.3,1028,26.8,16,261.2,22.5,8,,2019-04-04T06:32:58,2019-04-04T19:25:14,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,72522014750,APBN6,72616654781,72518014735,E4767,KDDH,KALB,D3701"
2019 weather new york,2019-04-05,5.5,-3.8,0.6,3.1,-5.2,-2.1,-7.8,56.3,5.46,100,33.33,"rain,snow",0.6,0.2,45.3,27,158.6,1030.6,67.2,12.9,82.9,7.2,4,,2019-04-05T06:31:14,2019-04-05T19:26:24,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"KGFL,72522014750,APBN6,72616654781,72518014735,KDDH,KALB,D3701"
2019 weather new york,2019-04-06,14,1.6,6.6,14,-3.1,5.3,1.6,72,0.12,100,12.5,"rain,snow",0.4,0.7,33.5,29.6,193.6,1022.9,68.2,15.5,170.1,14.6,8,,2019-04-06T06:29:31,2019-04-06T19:27:33,0.01,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"KGFL,72522014750,APBN6,72616654781,72518014735,KDDH,KALB,D3701"
2019 weather new york,2019-04-07,18.8,0.9,10.6,18.8,0.9,10.5,2.9,62,0,0,0,,0,0.1,,18,127.3,1022.2,67.1,15.9,183.2,15.9,7,,2019-04-07T06:27:48,2019-04-07T19:28:42,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,72522014750,APBN6,72616654781,72518014735,KDDH,KALB,D3701"
2019 weather new york,2019-04-08,14.4,9.1,11.6,14.4,8.3,11.5,7.4,76.5,8.17,100,58.33,rain,0,0,42.5,23.1,133.8,1009.8,79.1,15,73.5,6.3,4,,2019-04-08T06:26:06,2019-04-08T19:29:51,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KGFL,72522014750,APBN6,72616654781,72518014735,KDDH,KALB,D3701"
2019 weather new york,2019-04-09,16.1,4.6,9,16.1,2.3,8.3,4.6,74.9,7.86,100,12.5,rain,0,0,67.4,35.9,168.3,1004,60.5,14.6,149.3,13,7,,2019-04-09T06:24:24,2019-04-09T19:31:01,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KGFL,72522014750,APBN6,72616654781,72518014735,KDDH,KALB,D3701"
2019 weather new york,2019-04-10,9.2,0.7,5.4,5.5,-3.2,1.7,-3.4,54.1,0,0,0,,0,0,52.2,33.4,287.2,1011.4,73.5,16,207.6,17.8,9,,2019-04-10T06:22:42,2019-04-10T19:32:10,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,72522014750,APBN6,72616654781,72518014735,KDDH,KALB,D3701"
